"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538568"
"kwazulu-natal","Private Health","1238525"
"western cape","Private Health","1924694"
"limpopo","Private Health","612195"
"northern cape","Public Health","617712"
"gauteng","Private Health","4589308"
"kwazulu-natal","Public Health","4701235"
"mpumalanga","","22"
"free state","Public Health","1879189"
"north west","Public Health","1804498"
"gauteng","Public Health","5893052"
"mpumalanga","Private Health","406925"
"mpumalanga","Public Health","1959267"
"western cape","","3"
"northern cape","Private Health","158484"
"eastern cape","Private Health","695542"
"western cape","Public Health","3706879"
"limpopo","Public Health","3190188"
"limpopo","","2"
"free state","Private Health","402277"
"eastern cape","Public Health","3617964"
