"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","93","18","111"
"National","eastern cape","Amathole DM","Public Health","Female","14523","5568","20091"
"National","eastern cape","Amathole DM","Public Health","Male","12469","4563","17032"
"National","eastern cape","A Nzo DM","Public Health","Female","32769","17451","50220"
"National","eastern cape","A Nzo DM","Public Health","Male","28990","13585","42575"
"National","eastern cape","Buffalo City MM","Private Health","Female","2810","1151","3961"
"National","eastern cape","Buffalo City MM","Private Health","Male","2288","885","3173"
"National","eastern cape","Buffalo City MM","Public Health","Female","16458","9526","25984"
"National","eastern cape","Buffalo City MM","Public Health","Male","13032","6697","19729"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","155","75","230"
"National","eastern cape","C Hani DM","Public Health","Female","13749","3602","17351"
"National","eastern cape","C Hani DM","Public Health","Male","11074","2628","13702"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","649","360","1009"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","489","215","704"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7808","2711","10519"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6978","2189","9167"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4024","2025","6049"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3652","1700","5352"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15800","6495","22295"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12286","4604","16890"
"National","eastern cape","O Tambo DM","Private Health","Female","307","119","426"
"National","eastern cape","O Tambo DM","Private Health","Male","244","112","356"
"National","eastern cape","O Tambo DM","Public Health","Female","43691","17016","60707"
"National","eastern cape","O Tambo DM","Public Health","Male","36712","12716","49428"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1560","1071","2631"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1350","809","2159"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9565","5363","14928"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8041","3994","12035"
"National","free state","Fezile Dabi DM","Private Health","Female","471","340","811"
"National","free state","Fezile Dabi DM","Private Health","Male","446","281","727"
"National","free state","Fezile Dabi DM","Public Health","Female","13110","5005","18115"
"National","free state","Fezile Dabi DM","Public Health","Male","10737","3634","14371"
"National","free state","Lejweleputswa DM","Private Health","Female","3726","1436","5162"
"National","free state","Lejweleputswa DM","Private Health","Male","2981","1083","4064"
"National","free state","Lejweleputswa DM","Public Health","Female","13988","5266","19254"
"National","free state","Lejweleputswa DM","Public Health","Male","11999","3727","15726"
"National","free state","Mangaung MM","Private Health","Female","2954","1918","4872"
"National","free state","Mangaung MM","Private Health","Male","2433","1451","3884"
"National","free state","Mangaung MM","Public Health","Female","23318","13819","37137"
"National","free state","Mangaung MM","Public Health","Male","20842","11180","32022"
"National","free state","T Mofutsanyana DM","Private Health","Female","1827","1112","2939"
"National","free state","T Mofutsanyana DM","Private Health","Male","1571","907","2478"
"National","free state","T Mofutsanyana DM","Public Health","Female","26650","15388","42038"
"National","free state","T Mofutsanyana DM","Public Health","Male","22921","11613","34534"
"National","free state","Xhariep DM","Public Health","Female","4234","1193","5427"
"National","free state","Xhariep DM","Public Health","Male","3463","814","4277"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10684","6506","17190"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9851","5566","15417"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40531","15228","55759"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32112","11161","43273"
"National","gauteng","Johannesburg MM","Private Health","Female","25108","13569","38677"
"National","gauteng","Johannesburg MM","Private Health","Male","22937","11824","34761"
"National","gauteng","Johannesburg MM","Public Health","Female","45986","16741","62727"
"National","gauteng","Johannesburg MM","Public Health","Male","37303","13113","50416"
"National","gauteng","Sedibeng DM","Private Health","Female","1572","1000","2572"
"National","gauteng","Sedibeng DM","Private Health","Male","1401","678","2079"
"National","gauteng","Sedibeng DM","Public Health","Female","13640","5848","19488"
"National","gauteng","Sedibeng DM","Public Health","Male","10786","4514","15300"
"National","gauteng","Tshwane MM","Private Health","Female","11340","6534","17874"
"National","gauteng","Tshwane MM","Private Health","Male","10799","5928","16727"
"National","gauteng","Tshwane MM","Public Health","Female","39763","18624","58387"
"National","gauteng","Tshwane MM","Public Health","Male","30816","13112","43928"
"National","gauteng","West Rand DM","Private Health","Female","2156","1490","3646"
"National","gauteng","West Rand DM","Private Health","Male","1797","1219","3016"
"National","gauteng","West Rand DM","Public Health","Female","17359","8782","26141"
"National","gauteng","West Rand DM","Public Health","Male","14213","6570","20783"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","179","55","234"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6481","2808","9289"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4193","1747","5940"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11648","6846","18494"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10868","6085","16953"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14391","5543","19934"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11750","4451","16201"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","348","160","508"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","340","133","473"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12895","7730","20625"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10100","5603","15703"
"National","kwazulu-natal","iLembe DM","Private Health","Female","538","327","865"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8258","4111","12369"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4881","2203","7084"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","326","130","456"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","302","91","393"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12274","5012","17286"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","7973","3059","11032"
"National","kwazulu-natal","Ugu DM","Private Health","Female","885","550","1435"
"National","kwazulu-natal","Ugu DM","Private Health","Male","708","416","1124"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12284","5116","17400"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7942","2761","10703"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1590","826","2416"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1482","755","2237"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12527","4990","17517"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8747","3082","11829"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","24","6","30"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20319","10276","30595"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12881","5401","18282"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14740","6307","21047"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9095","3435","12530"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","277","118","395"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","75","256"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15111","6820","21931"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10216","4008","14224"
"National","kwazulu-natal","Zululand DM","Private Health","Female","59","7","66"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","23907","12752","36659"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17208","8079","25287"
"National","limpopo","Capricorn DM","Private Health","Female","2558","1375","3933"
"National","limpopo","Capricorn DM","Private Health","Male","2100","1037","3137"
"National","limpopo","Capricorn DM","Public Health","Female","34857","14286","49143"
"National","limpopo","Capricorn DM","Public Health","Male","29967","10844","40811"
"National","limpopo","Mopani DM","Private Health","Female","954","471","1425"
"National","limpopo","Mopani DM","Private Health","Male","833","397","1230"
"National","limpopo","Mopani DM","Public Health","Female","36369","12599","48968"
"National","limpopo","Mopani DM","Public Health","Male","29919","9084","39003"
"National","limpopo","Sekhukhune DM","Private Health","Female","884","467","1351"
"National","limpopo","Sekhukhune DM","Private Health","Male","892","365","1257"
"National","limpopo","Sekhukhune DM","Public Health","Female","25422","9559","34981"
"National","limpopo","Sekhukhune DM","Public Health","Male","24934","8058","32992"
"National","limpopo","Vhembe DM","Private Health","Female","5813","2467","8280"
"National","limpopo","Vhembe DM","Private Health","Male","4009","1449","5458"
"National","limpopo","Vhembe DM","Public Health","Female","32257","10234","42491"
"National","limpopo","Vhembe DM","Public Health","Male","26846","7316","34162"
"National","limpopo","Waterberg DM","Private Health","Female","1230","507","1737"
"National","limpopo","Waterberg DM","Private Health","Male","1118","433","1551"
"National","limpopo","Waterberg DM","Public Health","Female","16515","6521","23036"
"National","limpopo","Waterberg DM","Public Health","Male","13751","4763","18514"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","1990","933","2923"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1706","831","2537"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","46046","19144","65190"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","35151","12417","47568"
"National","mpumalanga","G Sibande DM","Private Health","Female","690","263","953"
"National","mpumalanga","G Sibande DM","Private Health","Male","589","246","835"
"National","mpumalanga","G Sibande DM","Public Health","Female","15343","6019","21362"
"National","mpumalanga","G Sibande DM","Public Health","Male","11833","4081","15914"
"National","mpumalanga","Nkangala DM","Private Health","Female","1046","438","1484"
"National","mpumalanga","Nkangala DM","Private Health","Male","1004","395","1399"
"National","mpumalanga","Nkangala DM","Public Health","Female","15944","6139","22083"
"National","mpumalanga","Nkangala DM","Public Health","Male","16593","5129","21722"
"National","northern cape","Frances Baard DM","Private Health","Female","1223","617","1840"
"National","northern cape","Frances Baard DM","Private Health","Male","1166","503","1669"
"National","northern cape","Frances Baard DM","Public Health","Female","6370","3095","9465"
"National","northern cape","Frances Baard DM","Public Health","Male","5139","2305","7444"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","314","195","509"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","269","142","411"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3426","1233","4659"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2638","912","3550"
"National","northern cape","Namakwa DM","Private Health","Female","167","98","265"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1543","568","2111"
"National","northern cape","Namakwa DM","Public Health","Male","1219","431","1650"
"National","northern cape","Pixley ka Seme DM","Public Health","Female","3584","1590","5174"
"National","northern cape","Pixley ka Seme DM","Public Health","Male","2744","1142","3886"
"National","northern cape","ZF Mgcawu DM","Private Health","Female","314","108","422"
"National","northern cape","ZF Mgcawu DM","Private Health","Male","261","76","337"
"National","northern cape","ZF Mgcawu DM","Public Health","Female","3704","1583","5287"
"National","northern cape","ZF Mgcawu DM","Public Health","Male","2923","1106","4029"
"National","north west","Bojanala Platinum DM","Private Health","Female","2428","1167","3595"
"National","north west","Bojanala Platinum DM","Private Health","Male","2204","958","3162"
"National","north west","Bojanala Platinum DM","Public Health","Female","29755","12353","42108"
"National","north west","Bojanala Platinum DM","Public Health","Male","24529","9054","33583"
"National","north west","Dr K Kaunda DM","Private Health","Female","1337","654","1991"
"National","north west","Dr K Kaunda DM","Private Health","Male","1138","526","1664"
"National","north west","Dr K Kaunda DM","Public Health","Female","12534","4406","16940"
