"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","17"
"eastern cape","Public Health","952"
"free state","Private Health","5"
"free state","Public Health","258"
"gauteng","Private Health","299"
"gauteng","Public Health","896"
"kwazulu-natal","Private Health","41"
"kwazulu-natal","Public Health","603"
"limpopo","Private Health","40"
"limpopo","Public Health","658"
"mpumalanga","Private Health","8"
"mpumalanga","Public Health","506"
"mpumalanga","","14"
"northern cape","Private Health","11"
"northern cape","Public Health","98"
"north west","Private Health","15"
"north west","Public Health","270"
"western cape","Private Health","45"
"western cape","Public Health","377"
