"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","518600"
"kwazulu-natal","Private Health","1196355"
"western cape","Private Health","1854695"
"limpopo","Private Health","577298"
"northern cape","Public Health","551860"
"gauteng","Private Health","4400246"
"kwazulu-natal","Public Health","4278993"
"free state","Public Health","1742738"
"north west","Public Health","1694759"
"gauteng","Public Health","5555059"
"mpumalanga","Private Health","387117"
"mpumalanga","Public Health","1749728"
"northern cape","Private Health","151629"
"eastern cape","Private Health","667830"
"western cape","Public Health","3560044"
"limpopo","Public Health","2921337"
"free state","Private Health","381322"
"eastern cape","Public Health","3251789"
