"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539270"
"free state","","6"
"kwazulu-natal","Private Health","1239144"
"western cape","Private Health","1925427"
"limpopo","Private Health","612921"
"northern cape","Public Health","620624"
"gauteng","Private Health","4594501"
"kwazulu-natal","Public Health","4711816"
"mpumalanga","","23"
"free state","Public Health","1882930"
"north west","Public Health","1812225"
"gauteng","Public Health","5918069"
"mpumalanga","Private Health","407038"
"mpumalanga","Public Health","1967176"
"western cape","","3"
"northern cape","Private Health","158545"
"eastern cape","Private Health","695842"
"western cape","Public Health","3717309"
"limpopo","Public Health","3201396"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3639541"
