"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","154"
"eastern cape","Public Health","2221"
"free state","Private Health","73"
"free state","Public Health","1009"
"free state","","2"
"gauteng","Private Health","1217"
"gauteng","Public Health","1832"
"kwazulu-natal","Private Health","294"
"kwazulu-natal","Public Health","2231"
"limpopo","Private Health","177"
"limpopo","Public Health","1063"
"mpumalanga","Private Health","330"
"mpumalanga","Public Health","1725"
"northern cape","Private Health","42"
"northern cape","Public Health","678"
"north west","Private Health","142"
"north west","Public Health","622"
"western cape","Private Health","457"
"western cape","Public Health","738"
