"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","78"
"eastern cape","Public Health","357"
"free state","Private Health","29"
"free state","Public Health","47"
"gauteng","Private Health","1187"
"gauteng","Public Health","503"
"kwazulu-natal","Private Health","407"
"kwazulu-natal","Public Health","601"
"limpopo","Private Health","152"
"limpopo","Public Health","180"
"mpumalanga","Private Health","79"
"mpumalanga","Public Health","278"
"northern cape","Private Health","56"
"northern cape","Public Health","10"
"north west","Private Health","64"
"north west","Public Health","673"
"western cape","Private Health","428"
"western cape","Public Health","24"
