"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539168"
"free state","","6"
"kwazulu-natal","Private Health","1239123"
"western cape","Private Health","1925411"
"limpopo","Private Health","612904"
"northern cape","Public Health","620569"
"gauteng","Private Health","4594302"
"kwazulu-natal","Public Health","4711429"
"mpumalanga","","23"
"free state","Public Health","1882807"
"north west","Public Health","1811968"
"gauteng","Public Health","5917296"
"mpumalanga","Private Health","407036"
"mpumalanga","Public Health","1966979"
"western cape","","3"
"northern cape","Private Health","158545"
"eastern cape","Private Health","695833"
"western cape","Public Health","3716885"
"limpopo","Public Health","3201190"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3639279"
