"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","19"
"eastern cape","Public Health","1756"
"free state","Public Health","390"
"gauteng","Private Health","270"
"gauteng","Public Health","1295"
"kwazulu-natal","Private Health","23"
"kwazulu-natal","Public Health","730"
"limpopo","Private Health","54"
"limpopo","Public Health","1092"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","764"
"northern cape","Private Health","2"
"northern cape","Public Health","263"
"north west","Private Health","36"
"north west","Public Health","365"
"western cape","Private Health","30"
"western cape","Public Health","531"
