"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14298","5241","19539"
"National","eastern cape","Amathole DM","Public Health","Male","12195","4351","16546"
"National","eastern cape","A Nzo DM","Public Health","Female","31729","16090","47819"
"National","eastern cape","A Nzo DM","Public Health","Male","27835","12373","40208"
"National","eastern cape","Buffalo City MM","Private Health","Female","2841","1169","4010"
"National","eastern cape","Buffalo City MM","Private Health","Male","2312","894","3206"
"National","eastern cape","Buffalo City MM","Public Health","Female","16321","9403","25724"
"National","eastern cape","Buffalo City MM","Public Health","Male","12808","6546","19354"
"National","eastern cape","C Hani DM","Private Health","Female","221","106","327"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13850","3620","17470"
"National","eastern cape","C Hani DM","Public Health","Male","11136","2637","13773"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","654","363","1017"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","495","217","712"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7857","2722","10579"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7028","2198","9226"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4068","2046","6114"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3682","1713","5395"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15634","6434","22068"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12188","4554","16742"
"National","eastern cape","O Tambo DM","Private Health","Female","309","119","428"
"National","eastern cape","O Tambo DM","Private Health","Male","246","112","358"
"National","eastern cape","O Tambo DM","Public Health","Female","43750","16940","60690"
"National","eastern cape","O Tambo DM","Public Health","Male","36683","12643","49326"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1573","1080","2653"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1369","821","2190"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9613","5379","14992"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8068","4002","12070"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13181","5020","18201"
"National","free state","Fezile Dabi DM","Public Health","Male","10758","3639","14397"
"National","free state","Lejweleputswa DM","Private Health","Female","3767","1449","5216"
"National","free state","Lejweleputswa DM","Private Health","Male","3016","1090","4106"
"National","free state","Lejweleputswa DM","Public Health","Female","14062","5293","19355"
"National","free state","Lejweleputswa DM","Public Health","Male","12062","3732","15794"
"National","free state","Mangaung MM","Private Health","Female","2964","1922","4886"
"National","free state","Mangaung MM","Private Health","Male","2437","1453","3890"
"National","free state","Mangaung MM","Public Health","Female","23465","13881","37346"
"National","free state","Mangaung MM","Public Health","Male","20952","11214","32166"
"National","free state","T Mofutsanyana DM","Private Health","Female","1843","1121","2964"
"National","free state","T Mofutsanyana DM","Private Health","Male","1583","917","2500"
"National","free state","T Mofutsanyana DM","Public Health","Female","26804","15470","42274"
"National","free state","T Mofutsanyana DM","Public Health","Male","23031","11650","34681"
