"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538204"
"kwazulu-natal","Private Health","1238165"
"western cape","Private Health","1924121"
"limpopo","Private Health","611301"
"northern cape","Public Health","614533"
"gauteng","Private Health","4585348"
"kwazulu-natal","Public Health","4690808"
"mpumalanga","","20"
"free state","Public Health","1875665"
"north west","Public Health","1797795"
"gauteng","Public Health","5874897"
"mpumalanga","Private Health","406893"
"mpumalanga","Public Health","1951237"
"western cape","","2"
"northern cape","Private Health","158397"
"eastern cape","Private Health","695319"
"western cape","Public Health","3699144"
"limpopo","Public Health","3175916"
"free state","Private Health","402001"
"eastern cape","Public Health","3594116"
