"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","4"
"eastern cape","Public Health","63"
"gauteng","Private Health","110"
"gauteng","Public Health","44"
"kwazulu-natal","Private Health","27"
"kwazulu-natal","Public Health","229"
"limpopo","Private Health","15"
"limpopo","Public Health","28"
"mpumalanga","Public Health","33"
"north west","Private Health","72"
"north west","Public Health","261"
"western cape","Private Health","14"
"western cape","Public Health","7"
