"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532339"
"kwazulu-natal","Private Health","1224505"
"western cape","Private Health","1902192"
"limpopo","Private Health","597097"
"northern cape","Public Health","590249"
"gauteng","Private Health","4519210"
"kwazulu-natal","Public Health","4555150"
"free state","Public Health","1827455"
"north west","Public Health","1765394"
"gauteng","Public Health","5760467"
"mpumalanga","Private Health","399535"
"mpumalanga","Public Health","1867766"
"northern cape","Private Health","156137"
"eastern cape","Private Health","685456"
"western cape","Public Health","3640939"
"limpopo","Public Health","3086539"
"free state","Private Health","395347"
"eastern cape","Public Health","3440063"
