"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10520","5123","15643"
"National","eastern cape","Private Health","Male","8883","3964","12847"
"National","eastern cape","Public Health","Female","144067","50783","194850"
"National","eastern cape","Public Health","Male","118151","35493","153644"
"National","free state","Private Health","Female","9178","4593","13771"
"National","free state","Private Health","Male","7527","3487","11014"
"National","free state","Public Health","Female","83917","39814","123731"
"National","free state","Public Health","Male","71703","29773","101476"
"National","gauteng","Private Health","Female","53820","30232","84052"
"National","gauteng","Private Health","Male","49421","25858","75279"
"National","gauteng","Public Health","Female","163615","65624","229239"
"National","gauteng","Public Health","Male","129201","48060","177261"
"National","kwazulu-natal","Private Health","Female","17242","9704","26946"
"National","kwazulu-natal","Private Health","Male","15568","8253","23821"
"National","kwazulu-natal","Public Health","Female","156132","63950","220082"
"National","kwazulu-natal","Public Health","Male","106300","38932","145232"
"National","limpopo","Private Health","Female","11842","5162","17004"
"National","limpopo","Private Health","Male","9216","3603","12819"
"National","limpopo","Public Health","Female","141101","47424","188525"
"National","limpopo","Public Health","Male","122593","35508","158101"
"National","mpumalanga","Private Health","Female","4031","1723","5754"
"National","mpumalanga","Private Health","Male","3515","1503","5018"
"National","mpumalanga","Public Health","Female","75459","25386","100845"
"National","mpumalanga","Public Health","Male","62708","17712","80420"
"National","northern cape","Private Health","Female","2144","1066","3210"
"National","northern cape","Private Health","Male","1970","810","2780"
"National","northern cape","Public Health","Female","17069","5646","22715"
"National","northern cape","Public Health","Male","13362","4151","17513"
"National","north west","Private Health","Female","5269","2447","7716"
"National","north west","Private Health","Male","4755","2044","6799"
"National","north west","Public Health","Female","79069","27880","106949"
"National","north west","Public Health","Male","65470","20140","85610"
"National","western cape","Private Health","Female","23642","12674","36316"
"National","western cape","Private Health","Male","21281","10957","32238"
"National","western cape","Public Health","Female","47147","15845","62992"
"National","western cape","Public Health","Male","39340","12971","52311"
