"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","30"
"eastern cape","Public Health","1954"
"free state","Private Health","12"
"free state","Public Health","349"
"gauteng","Private Health","354"
"gauteng","Public Health","1626"
"kwazulu-natal","Private Health","21"
"kwazulu-natal","Public Health","639"
"limpopo","Private Health","61"
"limpopo","Public Health","911"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","516"
"northern cape","Private Health","7"
"northern cape","Public Health","260"
"north west","Private Health","22"
"north west","Public Health","490"
"western cape","Private Health","26"
"western cape","Public Health","560"
