"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538971"
"free state","","6"
"kwazulu-natal","Private Health","1239041"
"western cape","Private Health","1925223"
"limpopo","Private Health","612709"
"northern cape","Public Health","619963"
"gauteng","Private Health","4592593"
"kwazulu-natal","Public Health","4708938"
"mpumalanga","","23"
"free state","Public Health","1881977"
"north west","Public Health","1809997"
"gauteng","Public Health","5911287"
"mpumalanga","Private Health","407018"
"mpumalanga","Public Health","1964796"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695755"
"western cape","Public Health","3713983"
"limpopo","Public Health","3198780"
"limpopo","","2"
"free state","Private Health","402856"
"eastern cape","Public Health","3635151"
