"province","health_sector","visit_date","total_number_vaccines_administered"
"eastern cape","Private Health","2021/05/17 00:00:00","64"
"eastern cape","Private Health","2021/03/18 00:00:00","377"
"gauteng","Private Health","2022/09/04 00:00:00","51"
"limpopo","Public Health","2022/05/12 00:00:00","7901"
"north west","Private Health","2021/12/28 00:00:00","805"
"north west","Private Health","2021/03/11 00:00:00","207"
"northern cape","Private Health","2021/09/05 00:00:00","92"
"free state","Public Health","2022/11/23 00:00:00","313"
"limpopo","Private Health","2021/10/16 00:00:00","621"
"kwazulu-natal","Private Health","2022/09/25 00:00:00","2"
"northern cape","Public Health","2022/04/27 00:00:00","90"
"gauteng","Private Health","2022/08/20 00:00:00","266"
"free state","Private Health","2022/08/03 00:00:00","30"
"eastern cape","Private Health","2022/08/12 00:00:00","107"
"limpopo","Public Health","2021/07/02 00:00:00","18732"
"north west","Public Health","2021/12/13 00:00:00","3842"
"north west","Public Health","2022/07/28 00:00:00","372"
"free state","Public Health","2022/01/18 00:00:00","4463"
"western cape","Public Health","2021/09/26 00:00:00","20"
"limpopo","Private Health","2021/06/28 00:00:00","363"
"free state","Public Health","2022/07/20 00:00:00","918"
"kwazulu-natal","Public Health","2021/12/21 00:00:00","6388"
"gauteng","Public Health","2022/01/10 00:00:00","19977"
"limpopo","Public Health","2022/06/11 00:00:00","249"
"free state","Public Health","2021/05/17 00:00:00","262"
"free state","Private Health","2021/07/15 00:00:00","1641"
"western cape","Public Health","2022/08/29 00:00:00","555"
"mpumalanga","Private Health","2022/08/11 00:00:00","63"
"western cape","Private Health","2021/03/18 00:00:00","165"
"western cape","Public Health","2021/08/13 00:00:00","19163"
"kwazulu-natal","Public Health","2021/10/08 00:00:00","20593"
"kwazulu-natal","Public Health","2021/12/23 00:00:00","4345"
"eastern cape","Public Health","2022/07/19 00:00:00","2403"
"northern cape","Public Health","2022/04/03 00:00:00","1"
"limpopo","Public Health","2022/04/09 00:00:00","652"
"eastern cape","Private Health","2022/01/25 00:00:00","1827"
"free state","Private Health","2022/07/12 00:00:00","71"
"mpumalanga","Public Health","2021/07/25 00:00:00","237"
"kwazulu-natal","Public Health","2022/07/31 00:00:00","216"
"free state","Public Health","2021/02/25 00:00:00","801"
"north west","Public Health","2022/10/03 00:00:00","258"
"limpopo","Private Health","2022/10/06 00:00:00","81"
"limpopo","Private Health","2022/02/03 00:00:00","1143"
"gauteng","Private Health","2021/03/10 00:00:00","975"
"mpumalanga","Public Health","2021/09/21 00:00:00","9134"
"gauteng","Private Health","2021/03/21 00:00:00","12"
"gauteng","Public Health","2022/04/30 00:00:00","1780"
"kwazulu-natal","Public Health","2022/10/25 00:00:00","933"
