"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","527252"
"kwazulu-natal","Private Health","1212425"
"western cape","Private Health","1882799"
"limpopo","Private Health","589398"
"northern cape","Public Health","572772"
"gauteng","Private Health","4467045"
"kwazulu-natal","Public Health","4452291"
"free state","Public Health","1795393"
"north west","Public Health","1738954"
"gauteng","Public Health","5684221"
"mpumalanga","Private Health","393317"
"mpumalanga","Public Health","1816825"
"northern cape","Private Health","154480"
"eastern cape","Private Health","678249"
"western cape","Public Health","3607763"
"limpopo","Public Health","3028860"
"free state","Private Health","390340"
"eastern cape","Public Health","3371291"
