"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10648","5053","15701"
"National","eastern cape","Private Health","Male","8938","3878","12816"
"National","eastern cape","Public Health","Female","142745","47314","190059"
"National","eastern cape","Public Health","Male","116227","32747","148974"
"National","free state","Private Health","Female","9218","4348","13566"
"National","free state","Private Health","Male","7492","3326","10818"
"National","free state","Public Health","Female","83907","38459","122366"
"National","free state","Public Health","Male","71674","28711","100385"
"National","gauteng","Private Health","Female","54062","29498","83560"
"National","gauteng","Private Health","Male","49386","25129","74515"
"National","gauteng","Public Health","Female","161825","62897","224722"
"National","gauteng","Public Health","Male","127581","45851","173432"
"National","kwazulu-natal","Private Health","Female","17454","9634","27088"
"National","kwazulu-natal","Private Health","Male","15751","8153","23904"
"National","kwazulu-natal","Public Health","Female","150530","58448","208978"
"National","kwazulu-natal","Public Health","Male","102176","35300","137476"
"National","limpopo","Private Health","Female","11638","5004","16642"
"National","limpopo","Private Health","Male","9015","3482","12497"
"National","limpopo","Public Health","Female","136103","43907","180010"
"National","limpopo","Public Health","Male","116049","32762","148811"
"National","mpumalanga","Private Health","Female","4006","1671","5677"
"National","mpumalanga","Private Health","Male","3512","1461","4973"
"National","mpumalanga","Public Health","Female","74095","23515","97610"
"National","mpumalanga","Public Health","Male","61399","16554","77953"
"National","northern cape","Private Health","Female","2143","1030","3173"
"National","northern cape","Private Health","Male","1957","777","2734"
"National","northern cape","Public Health","Female","16216","4928","21144"
"National","northern cape","Public Health","Male","12757","3670","16427"
"National","north west","Private Health","Female","5281","2397","7678"
"National","north west","Private Health","Male","4768","2001","6769"
"National","north west","Public Health","Female","78824","26968","105792"
"National","north west","Public Health","Male","65085","19251","84336"
"National","western cape","Private Health","Female","23725","12260","35985"
"National","western cape","Private Health","Male","21271","10529","31800"
"National","western cape","Public Health","Female","47100","15463","62563"
"National","western cape","Public Health","Male","39137","12603","51740"
