"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921403"
"eastern cape","Pfizer","1356552"
"free state","Johnson & Johnson","488757"
"free state","Pfizer","682476"
"gauteng","Johnson & Johnson","1560742"
"gauteng","Pfizer","3939561"
"kwazulu-natal","Johnson & Johnson","1253584"
"kwazulu-natal","Pfizer","2004198"
"limpopo","Johnson & Johnson","1085605"
"limpopo","Pfizer","1055738"
"mpumalanga","Johnson & Johnson","835790"
"mpumalanga","Pfizer","582570"
"northern cape","Johnson & Johnson","217025"
"northern cape","Pfizer","228901"
"north west","Johnson & Johnson","716467"
"north west","Pfizer","628767"
"western cape","Johnson & Johnson","755424"
"western cape","Pfizer","2132011"
