"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537510"
"kwazulu-natal","Private Health","1237338"
"western cape","Private Health","1923105"
"limpopo","Private Health","609911"
"northern cape","Public Health","610362"
"gauteng","Private Health","4578685"
"kwazulu-natal","Public Health","4673282"
"mpumalanga","","15"
"free state","Public Health","1869087"
"north west","Public Health","1789137"
"gauteng","Public Health","5849078"
"mpumalanga","Private Health","406637"
"mpumalanga","Public Health","1937118"
"northern cape","Private Health","158182"
"eastern cape","Private Health","694526"
"western cape","Public Health","3688068"
"limpopo","Public Health","3153533"
"free state","Private Health","400986"
"eastern cape","Public Health","3562047"
