"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","530665"
"kwazulu-natal","Private Health","1219827"
"western cape","Private Health","1895054"
"limpopo","Private Health","594128"
"northern cape","Public Health","582362"
"gauteng","Private Health","4498158"
"kwazulu-natal","Public Health","4523631"
"free state","Public Health","1815639"
"north west","Public Health","1757140"
"gauteng","Public Health","5736605"
"mpumalanga","Private Health","396955"
"mpumalanga","Public Health","1850390"
"northern cape","Private Health","155507"
"eastern cape","Private Health","682437"
"western cape","Public Health","3629601"
"limpopo","Public Health","3074032"
"free state","Private Health","393839"
"eastern cape","Public Health","3418909"
