"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","39"
"eastern cape","Public Health","2174"
"free state","Private Health","17"
"free state","Public Health","502"
"gauteng","Private Health","421"
"gauteng","Public Health","1080"
"kwazulu-natal","Private Health","67"
"kwazulu-natal","Public Health","786"
"limpopo","Private Health","85"
"limpopo","Public Health","970"
"mpumalanga","Private Health","9"
"mpumalanga","Public Health","721"
"northern cape","Private Health","8"
"northern cape","Public Health","140"
"north west","Private Health","53"
"north west","Public Health","274"
"western cape","Private Health","198"
"western cape","Public Health","437"
