"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10651","5041","15692"
"National","eastern cape","Private Health","Male","8925","3869","12794"
"National","eastern cape","Public Health","Female","141989","46035","188024"
"National","eastern cape","Public Health","Male","115461","31720","147181"
"National","free state","Private Health","Female","9237","4334","13571"
"National","free state","Private Health","Male","7490","3314","10804"
"National","free state","Public Health","Female","83642","38160","121802"
"National","free state","Public Health","Male","71363","28445","99808"
"National","gauteng","Private Health","Female","54115","29486","83601"
"National","gauteng","Private Health","Male","49400","25099","74499"
"National","gauteng","Public Health","Female","161148","62499","223647"
"National","gauteng","Public Health","Male","127079","45523","172602"
"National","kwazulu-natal","Private Health","Female","17460","9638","27098"
"National","kwazulu-natal","Private Health","Male","15764","8147","23911"
"National","kwazulu-natal","Public Health","Female","148721","57142","205863"
"National","kwazulu-natal","Public Health","Male","100808","34331","135139"
"National","limpopo","Private Health","Female","11650","5003","16653"
"National","limpopo","Private Health","Male","9022","3478","12500"
"National","limpopo","Public Health","Female","134349","43126","177475"
"National","limpopo","Public Health","Male","114345","32094","146439"
"National","mpumalanga","Private Health","Female","4013","1671","5684"
"National","mpumalanga","Private Health","Male","3515","1458","4973"
"National","mpumalanga","Public Health","Female","73859","23043","96902"
"National","mpumalanga","Public Health","Male","61175","16274","77449"
"National","northern cape","Private Health","Female","2141","1032","3173"
"National","northern cape","Private Health","Male","1958","775","2733"
"National","northern cape","Public Health","Female","16061","4813","20874"
"National","northern cape","Public Health","Male","12625","3603","16228"
"National","north west","Private Health","Female","5294","2398","7692"
"National","north west","Private Health","Male","4774","1999","6773"
"National","north west","Public Health","Female","78530","26603","105133"
"National","north west","Public Health","Male","64837","18947","83784"
"National","western cape","Private Health","Female","23726","12248","35974"
"National","western cape","Private Health","Male","21273","10496","31769"
"National","western cape","Public Health","Female","47023","15430","62453"
"National","western cape","Public Health","Male","39055","12562","51617"
