"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","526573"
"kwazulu-natal","Private Health","1211103"
"western cape","Private Health","1880415"
"limpopo","Private Health","588651"
"northern cape","Public Health","570580"
"gauteng","Private Health","4462215"
"kwazulu-natal","Public Health","4436449"
"free state","Public Health","1790596"
"north west","Public Health","1734750"
"gauteng","Public Health","5672710"
"mpumalanga","Private Health","392867"
"mpumalanga","Public Health","1810514"
"northern cape","Private Health","154262"
"eastern cape","Private Health","677449"
"western cape","Public Health","3602917"
"limpopo","Public Health","3017076"
"free state","Private Health","389648"
"eastern cape","Public Health","3359189"
