"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537850"
"kwazulu-natal","Private Health","1237851"
"western cape","Private Health","1923800"
"limpopo","Private Health","610800"
"northern cape","Public Health","612316"
"gauteng","Private Health","4582149"
"kwazulu-natal","Public Health","4682052"
"mpumalanga","","18"
"free state","Public Health","1872368"
"north west","Public Health","1793001"
"gauteng","Public Health","5861614"
"mpumalanga","Private Health","406833"
"mpumalanga","Public Health","1943768"
"western cape","","1"
"northern cape","Private Health","158316"
"eastern cape","Private Health","695119"
"western cape","Public Health","3693463"
"limpopo","Public Health","3165430"
"free state","Private Health","401610"
"eastern cape","Public Health","3579498"
