"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536033"
"kwazulu-natal","Private Health","1234253"
"western cape","Private Health","1918547"
"limpopo","Private Health","606707"
"northern cape","Public Health","606106"
"gauteng","Private Health","4561905"
"kwazulu-natal","Public Health","4644725"
"free state","Public Health","1856563"
"north west","Public Health","1781381"
"gauteng","Public Health","5816916"
"mpumalanga","Private Health","405673"
"mpumalanga","Public Health","1917729"
"northern cape","Private Health","157581"
"eastern cape","Private Health","693262"
"western cape","Public Health","3671674"
"limpopo","Public Health","3130280"
"free state","Private Health","399316"
"eastern cape","Public Health","3517694"
