"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10277","5105","15382"
"National","eastern cape","Private Health","Male","8698","3967","12665"
"National","eastern cape","Public Health","Female","148310","58792","207102"
"National","eastern cape","Public Health","Male","122375","42383","164758"
"National","free state","Private Health","Female","9140","4620","13760"
"National","free state","Private Health","Male","7534","3556","11090"
"National","free state","Public Health","Female","83427","40864","124291"
"National","free state","Public Health","Male","71426","30725","102151"
"National","gauteng","Private Health","Female","52979","30234","83213"
"National","gauteng","Private Health","Male","48649","25941","74590"
"National","gauteng","Public Health","Female","161377","65926","227303"
"National","gauteng","Public Health","Male","127680","48534","176214"
"National","kwazulu-natal","Private Health","Female","16788","9558","26346"
"National","kwazulu-natal","Private Health","Male","15260","8202","23462"
"National","kwazulu-natal","Public Health","Female","157630","71649","229279"
"National","kwazulu-natal","Public Health","Male","107463","43387","150850"
"National","limpopo","Private Health","Female","11792","5311","17103"
"National","limpopo","Private Health","Male","9170","3694","12864"
"National","limpopo","Public Health","Female","144510","50505","195015"
"National","limpopo","Public Health","Male","124790","37719","162509"
"National","mpumalanga","Private Health","Female","3922","1707","5629"
"National","mpumalanga","Private Health","Male","3431","1519","4950"
"National","mpumalanga","Public Health","Female","77146","27967","105113"
"National","mpumalanga","Public Health","Male","63561","19306","82867"
"National","northern cape","Private Health","Female","2111","1041","3152"
"National","northern cape","Private Health","Male","1939","816","2755"
"National","northern cape","Public Health","Female","18128","7210","25338"
"National","northern cape","Public Health","Male","14244","5274","19518"
"National","north west","Private Health","Female","5143","2407","7550"
"National","north west","Private Health","Male","4662","2030","6692"
"National","north west","Public Health","Female","77972","27980","105952"
"National","north west","Public Health","Male","64682","20444","85126"
"National","western cape","Private Health","Female","23148","12667","35815"
"National","western cape","Private Health","Male","20961","10967","31928"
"National","western cape","Public Health","Female","48207","16486","64693"
"National","western cape","Public Health","Male","40335","13541","53876"
