"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919213"
"Janssen Vaccines & Prevention B.V","free state","Adults","487842"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1551556"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1248527"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1082037"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","831883"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216311"
"Janssen Vaccines & Prevention B.V","north west","Adults","714718"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752609"
"Pfizer","eastern cape","12-17 Years","110247"
"Pfizer","eastern cape","Adults","1133858"
"Pfizer","free state","12-17 Years","79765"
"Pfizer","free state","Adults","596377"
"Pfizer","gauteng","12-17 Years","170635"
"Pfizer","gauteng","Adults","3401602"
"Pfizer","kwazulu-natal","12-17 Years","132796"
"Pfizer","kwazulu-natal","Adults","1659629"
"Pfizer","limpopo","12-17 Years","97229"
"Pfizer","limpopo","Adults","882037"
"Pfizer","mpumalanga","12-17 Years","50499"
"Pfizer","mpumalanga","Adults","476588"
"Pfizer","northern cape","12-17 Years","14341"
"Pfizer","northern cape","Adults","194589"
"Pfizer","north west","12-17 Years","52861"
"Pfizer","north west","Adults","541189"
"Pfizer","western cape","12-17 Years","53661"
"Pfizer","western cape","Adults","1868010"
