"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","858342","0","147511","1005853"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","463446","0","91146","554592"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1413998","0","202739","1616737"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1154020","0","177020","1331040"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1047850","0","146952","1194802"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","809963","0","124629","934592"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","206847","0","33883","240730"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","691241","0","110932","802173"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","657996","0","109727","767723"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60871","0","24221","85092"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12199","36595"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137555","0","65384","202939"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94505","0","40024","134529"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21920","0","7151","29071"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23477","0","8965","32442"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94613","0","61527","156140"
"Pfizer","National","eastern cape","Adults","1345977","1133856","240271","2720104"
"Pfizer","National","eastern cape","12-17 Years","289660","110247","0","399907"
"Pfizer","National","free state","12-17 Years","171527","79765","0","251292"
"Pfizer","National","free state","Adults","677822","596377","139201","1413400"
"Pfizer","National","gauteng","12-17 Years","390685","170635","16","561336"
"Pfizer","National","gauteng","Adults","3923126","3401587","673096","7997809"
"Pfizer","National","kwazulu-natal","Adults","1992410","1659624","331429","3983463"
"Pfizer","National","kwazulu-natal","12-17 Years","297141","132796","9","429946"
"Pfizer","National","limpopo","Adults","1048058","882037","173394","2103489"
"Pfizer","National","limpopo","12-17 Years","290262","97229","2","387493"
"Pfizer","National","mpumalanga","12-17 Years","148060","50499","0","198559"
"Pfizer","National","mpumalanga","Adults","577511","476587","107082","1161180"
"Pfizer","National","northern cape","12-17 Years","36422","14341","0","50763"
"Pfizer","National","northern cape","Adults","227575","194589","36111","458275"
"Pfizer","National","north west","12-17 Years","152459","52861","4","205324"
"Pfizer","National","north west","Adults","625209","541187","111079","1277475"
"Pfizer","National","western cape","12-17 Years","132651","53661","2","186314"
"Pfizer","National","western cape","Adults","2125629","1867997","486418","4480044"
