"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10710","4617","15327"
"National","eastern cape","Private Health","Male","8883","3500","12383"
"National","eastern cape","Public Health","Female","113780","22516","136296"
"National","eastern cape","Public Health","Male","91281","14808","106089"
"National","free state","Private Health","Female","8747","3695","12442"
"National","free state","Private Health","Male","7126","2841","9967"
"National","free state","Public Health","Female","75111","27666","102777"
"National","free state","Public Health","Male","63508","19881","83389"
"National","gauteng","Private Health","Female","54115","27161","81276"
"National","gauteng","Private Health","Male","48960","22806","71766"
"National","gauteng","Public Health","Female","143451","43181","186632"
"National","gauteng","Public Health","Male","113009","31868","144877"
"National","kwazulu-natal","Private Health","Female","17558","9045","26603"
"National","kwazulu-natal","Private Health","Male","15739","7629","23368"
"National","kwazulu-natal","Public Health","Female","115715","27838","143553"
"National","kwazulu-natal","Public Health","Male","78383","17427","95810"
"National","limpopo","Private Health","Female","10298","4223","14521"
"National","limpopo","Private Health","Male","8190","3037","11227"
"National","limpopo","Public Health","Female","110525","28429","138954"
"National","limpopo","Public Health","Male","92692","21519","114211"
"National","mpumalanga","Private Health","Female","4042","1531","5573"
"National","mpumalanga","Private Health","Male","3508","1307","4815"
"National","mpumalanga","Public Health","Female","60166","14100","74266"
"National","mpumalanga","Public Health","Male","50187","10214","60401"
"National","northern cape","Private Health","Female","2133","951","3084"
"National","northern cape","Private Health","Male","1913","693","2606"
"National","northern cape","Public Health","Female","10988","3210","14198"
"National","northern cape","Public Health","Male","8825","2432","11257"
"National","north west","Private Health","Female","5220","2183","7403"
"National","north west","Private Health","Male","4694","1832","6526"
"National","north west","Public Health","Female","70432","18012","88444"
"National","north west","Public Health","Male","58542","12911","71453"
"National","western cape","Private Health","Female","23624","11286","34910"
"National","western cape","Private Health","Male","20977","9513","30490"
"National","western cape","Public Health","Female","46649","14464","61113"
"National","western cape","Public Health","Male","38515","11755","50270"
