"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","502702"
"kwazulu-natal","Private Health","1169011"
"western cape","Private Health","1807932"
"limpopo","Private Health","559629"
"northern cape","Public Health","534856"
"gauteng","Private Health","4287909"
"kwazulu-natal","Public Health","4126149"
"free state","Public Health","1679361"
"north west","Public Health","1632217"
"gauteng","Public Health","5397184"
"mpumalanga","Private Health","378561"
"mpumalanga","Public Health","1674247"
"northern cape","Private Health","147577"
"eastern cape","Private Health","651316"
"western cape","Public Health","3501735"
"limpopo","Public Health","2815409"
"free state","Private Health","368966"
"eastern cape","Public Health","3120053"
