"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","668"
"eastern cape","Public Health","5302"
"free state","Private Health","513"
"free state","Public Health","2395"
"gauteng","Private Health","4430"
"gauteng","Public Health","6865"
"kwazulu-natal","Private Health","1177"
"kwazulu-natal","Public Health","8415"
"limpopo","Private Health","605"
"limpopo","Public Health","4467"
"mpumalanga","Private Health","384"
"mpumalanga","Public Health","3205"
"northern cape","Private Health","163"
"northern cape","Public Health","821"
"north west","Private Health","573"
"north west","Public Health","1754"
"western cape","Private Health","1889"
"western cape","Public Health","3005"
