"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","103"
"eastern cape","Public Health","1985"
"free state","Private Health","86"
"free state","Public Health","909"
"gauteng","Private Health","1083"
"gauteng","Public Health","1761"
"kwazulu-natal","Private Health","299"
"kwazulu-natal","Public Health","2022"
"limpopo","Private Health","227"
"limpopo","Public Health","827"
"mpumalanga","Private Health","201"
"mpumalanga","Public Health","1579"
"northern cape","Private Health","18"
"northern cape","Public Health","795"
"north west","Private Health","108"
"north west","Public Health","549"
"western cape","Private Health","417"
"western cape","Public Health","682"
