"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","170","0","393","563"
"Janssen Vaccines & Prevention B.V","free state","Adults","80","0","231","311"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","398","0","269","667"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","398","0","265","663"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","135","0","222","357"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","412","0","487","899"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","122","0","250","372"
"Janssen Vaccines & Prevention B.V","north west","Adults","85","0","171","256"
"Janssen Vaccines & Prevention B.V","western cape","Adults","105","0","98","203"
"Pfizer","eastern cape","12-17 Years","84","90","0","174"
"Pfizer","eastern cape","Adults","226","363","762","1351"
"Pfizer","free state","12-17 Years","30","48","0","78"
"Pfizer","free state","Adults","105","221","280","606"
"Pfizer","gauteng","12-17 Years","94","199","0","293"
"Pfizer","gauteng","Adults","492","690","702","1884"
"Pfizer","kwazulu-natal","12-17 Years","94","109","0","203"
"Pfizer","kwazulu-natal","Adults","409","554","492","1455"
"Pfizer","limpopo","12-17 Years","82","133","0","215"
"Pfizer","limpopo","Adults","117","160","205","482"
"Pfizer","mpumalanga","12-17 Years","64","75","0","139"
"Pfizer","mpumalanga","Adults","147","233","362","742"
"Pfizer","northern cape","12-17 Years","53","40","0","93"
"Pfizer","northern cape","Adults","136","109","103","348"
"Pfizer","north west","12-17 Years","16","27","0","43"
"Pfizer","north west","Adults","102","97","159","358"
"Pfizer","western cape","12-17 Years","27","69","0","96"
"Pfizer","western cape","Adults","178","238","384","800"
