"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","514706"
"kwazulu-natal","Private Health","1190370"
"western cape","Private Health","1845717"
"limpopo","Private Health","573659"
"northern cape","Public Health","546775"
"gauteng","Private Health","4376610"
"kwazulu-natal","Public Health","4240182"
"free state","Public Health","1729046"
"north west","Public Health","1681197"
"gauteng","Public Health","5517299"
"mpumalanga","Private Health","385165"
"mpumalanga","Public Health","1732027"
"northern cape","Private Health","150796"
"eastern cape","Private Health","664245"
"western cape","Public Health","3545936"
"limpopo","Public Health","2892669"
"free state","Private Health","378783"
"eastern cape","Public Health","3216875"
