"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","892971"
"Janssen Vaccines & Prevention B.V","free state","Adults","475742"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1487194"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1195937"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1054138"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","788906"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209493"
"Janssen Vaccines & Prevention B.V","north west","Adults","698286"
"Janssen Vaccines & Prevention B.V","western cape","Adults","733501"
"Pfizer","eastern cape","12-17 Years","62389"
"Pfizer","eastern cape","Adults","1087160"
"Pfizer","free state","12-17 Years","63363"
"Pfizer","free state","Adults","571351"
"Pfizer","gauteng","12-17 Years","142052"
"Pfizer","gauteng","Adults","3294120"
"Pfizer","kwazulu-natal","12-17 Years","81221"
"Pfizer","kwazulu-natal","Adults","1576661"
"Pfizer","limpopo","12-17 Years","66650"
"Pfizer","limpopo","Adults","849718"
"Pfizer","mpumalanga","12-17 Years","32674"
"Pfizer","mpumalanga","Adults","451558"
"Pfizer","northern cape","12-17 Years","7857"
"Pfizer","northern cape","Adults","186103"
"Pfizer","north west","12-17 Years","42103"
"Pfizer","north west","Adults","522660"
"Pfizer","western cape","12-17 Years","48666"
"Pfizer","western cape","Adults","1828682"
