"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","832118","0","96558","928676"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","451356","0","63863","515219"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1349927","0","156097","1506024"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1101463","0","123533","1224996"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1019960","0","99555","1119515"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","767021","0","80399","847420"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","200029","0","19699","219728"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","674823","0","84420","759243"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","638988","0","87899","726887"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60853","0","24220","85073"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137267","0","65367","202634"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94473","0","40020","134493"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34178","0","17016","51194"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21885","0","7150","29035"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23463","0","8964","32427"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94513","0","61528","156041"
"Pfizer","National","eastern cape","Adults","1304897","1087158","166618","2558673"
"Pfizer","National","eastern cape","12-17 Years","246309","62389","0","308698"
"Pfizer","National","free state","12-17 Years","162056","63363","0","225419"
"Pfizer","National","free state","Adults","655863","571351","103392","1330606"
"Pfizer","National","gauteng","12-17 Years","370679","142052","6","512737"
"Pfizer","National","gauteng","Adults","3825698","3294111","552705","7672514"
"Pfizer","National","kwazulu-natal","Adults","1911842","1576657","256524","3745023"
"Pfizer","National","kwazulu-natal","12-17 Years","244815","81221","4","326040"
"Pfizer","National","limpopo","Adults","1015730","849718","127399","1992847"
"Pfizer","National","limpopo","12-17 Years","236122","66650","0","302772"
"Pfizer","National","mpumalanga","12-17 Years","129345","32674","0","162019"
"Pfizer","National","mpumalanga","Adults","552060","451558","75100","1078718"
"Pfizer","National","northern cape","12-17 Years","26331","7857","0","34188"
"Pfizer","National","northern cape","Adults","218473","186103","25160","429736"
"Pfizer","National","north west","12-17 Years","144897","42103","0","187000"
"Pfizer","National","north west","Adults","606637","522659","87937","1217233"
"Pfizer","National","western cape","12-17 Years","130166","48666","1","178833"
"Pfizer","National","western cape","Adults","2090278","1828678","410936","4329892"
