"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10689","4852","15541"
"National","eastern cape","Private Health","Male","8884","3702","12586"
"National","eastern cape","Public Health","Female","125621","32405","158026"
"National","eastern cape","Public Health","Male","101115","21430","122545"
"National","free state","Private Health","Female","8916","3932","12848"
"National","free state","Private Health","Male","7273","3007","10280"
"National","free state","Public Health","Female","78858","32636","111494"
"National","free state","Public Health","Male","67009","23788","90797"
"National","gauteng","Private Health","Female","54175","28609","82784"
"National","gauteng","Private Health","Male","49227","24284","73511"
"National","gauteng","Public Health","Female","149366","51471","200837"
"National","gauteng","Public Health","Male","117911","37688","155599"
"National","kwazulu-natal","Private Health","Female","17483","9395","26878"
"National","kwazulu-natal","Private Health","Male","15763","7906","23669"
"National","kwazulu-natal","Public Health","Female","126101","39878","165979"
"National","kwazulu-natal","Public Health","Male","85468","24042","109510"
"National","limpopo","Private Health","Female","10909","4495","15404"
"National","limpopo","Private Health","Male","8522","3229","11751"
"National","limpopo","Public Health","Female","117682","33745","151427"
"National","limpopo","Public Health","Male","99009","25181","124190"
"National","mpumalanga","Private Health","Female","4026","1604","5630"
"National","mpumalanga","Private Health","Male","3522","1384","4906"
"National","mpumalanga","Public Health","Female","66215","17228","83443"
"National","mpumalanga","Public Health","Male","55582","12458","68040"
"National","northern cape","Private Health","Female","2139","994","3133"
"National","northern cape","Private Health","Male","1941","733","2674"
"National","northern cape","Public Health","Female","12360","3499","15859"
"National","northern cape","Public Health","Male","9891","2631","12522"
"National","north west","Private Health","Female","5262","2328","7590"
"National","north west","Private Health","Male","4739","1945","6684"
"National","north west","Public Health","Female","73917","22071","95988"
"National","north west","Public Health","Male","60979","15759","76738"
"National","western cape","Private Health","Female","23690","11735","35425"
"National","western cape","Private Health","Male","21125","9977","31102"
"National","western cape","Public Health","Female","46653","14847","61500"
"National","western cape","Public Health","Male","38698","12107","50805"
