"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","905100"
"eastern cape","Pfizer","1317095"
"free state","Johnson & Johnson","481206"
"free state","Pfizer","663181"
"gauteng","Johnson & Johnson","1512643"
"gauteng","Pfizer","3861435"
"kwazulu-natal","Johnson & Johnson","1216613"
"kwazulu-natal","Pfizer","1941170"
"limpopo","Johnson & Johnson","1067022"
"limpopo","Pfizer","1026118"
"mpumalanga","Johnson & Johnson","804297"
"mpumalanga","Pfizer","559634"
"northern cape","Johnson & Johnson","211837"
"northern cape","Pfizer","221065"
"north west","Johnson & Johnson","706056"
"north west","Pfizer","612956"
"western cape","Johnson & Johnson","741092"
"western cape","Pfizer","2103027"
