"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","905100"
"Janssen Vaccines & Prevention B.V","free state","Adults","481206"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1512643"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1216614"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1067022"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","804297"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","211837"
"Janssen Vaccines & Prevention B.V","north west","Adults","706056"
"Janssen Vaccines & Prevention B.V","western cape","Adults","741092"
"Pfizer","eastern cape","12-17 Years","85317"
"Pfizer","eastern cape","Adults","1103140"
"Pfizer","free state","12-17 Years","73483"
"Pfizer","free state","Adults","579832"
"Pfizer","gauteng","12-17 Years","161540"
"Pfizer","gauteng","Adults","3335710"
"Pfizer","kwazulu-natal","12-17 Years","106929"
"Pfizer","kwazulu-natal","Adults","1607474"
"Pfizer","limpopo","12-17 Years","82073"
"Pfizer","limpopo","Adults","861963"
"Pfizer","mpumalanga","12-17 Years","41429"
"Pfizer","mpumalanga","Adults","459202"
"Pfizer","northern cape","12-17 Years","10032"
"Pfizer","northern cape","Adults","188858"
"Pfizer","north west","12-17 Years","49579"
"Pfizer","north west","Adults","529853"
"Pfizer","western cape","12-17 Years","50502"
"Pfizer","western cape","Adults","1842996"
