"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","525791"
"kwazulu-natal","Private Health","1209280"
"western cape","Private Health","1877460"
"limpopo","Private Health","587436"
"northern cape","Public Health","568725"
"gauteng","Private Health","4454602"
"kwazulu-natal","Public Health","4421205"
"free state","Public Health","1785671"
"north west","Public Health","1730248"
"gauteng","Public Health","5660747"
"mpumalanga","Private Health","392290"
"mpumalanga","Public Health","1804052"
"northern cape","Private Health","153912"
"eastern cape","Private Health","676447"
"western cape","Public Health","3598052"
"limpopo","Public Health","3007131"
"free state","Private Health","388769"
"eastern cape","Public Health","3350198"
