"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","529512"
"kwazulu-natal","Private Health","1217605"
"western cape","Private Health","1891539"
"limpopo","Private Health","592631"
"northern cape","Public Health","579565"
"gauteng","Private Health","4488833"
"kwazulu-natal","Public Health","4501537"
"free state","Public Health","1808830"
"north west","Public Health","1752602"
"gauteng","Public Health","5721387"
"mpumalanga","Private Health","395592"
"mpumalanga","Public Health","1838963"
"northern cape","Private Health","155162"
"eastern cape","Private Health","681169"
"western cape","Public Health","3622235"
"limpopo","Public Health","3061154"
"free state","Private Health","392814"
"eastern cape","Public Health","3403694"
