"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538474"
"kwazulu-natal","Private Health","1238462"
"western cape","Private Health","1924635"
"limpopo","Private Health","611984"
"northern cape","Public Health","616997"
"gauteng","Private Health","4588381"
"kwazulu-natal","Public Health","4699063"
"mpumalanga","","22"
"free state","Public Health","1878340"
"north west","Public Health","1802666"
"gauteng","Public Health","5888424"
"mpumalanga","Private Health","406917"
"mpumalanga","Public Health","1957600"
"western cape","","3"
"northern cape","Private Health","158473"
"eastern cape","Private Health","695496"
"western cape","Public Health","3705853"
"limpopo","Public Health","3187078"
"limpopo","","2"
"free state","Private Health","402183"
"eastern cape","Public Health","3614483"
