"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","93","18","111"
"National","eastern cape","Amathole DM","Public Health","Female","14473","5553","20026"
"National","eastern cape","Amathole DM","Public Health","Male","12386","4545","16931"
"National","eastern cape","A Nzo DM","Public Health","Female","32710","17432","50142"
"National","eastern cape","A Nzo DM","Public Health","Male","28886","13566","42452"
"National","eastern cape","Buffalo City MM","Private Health","Female","2815","1153","3968"
"National","eastern cape","Buffalo City MM","Private Health","Male","2293","889","3182"
"National","eastern cape","Buffalo City MM","Public Health","Female","16482","9538","26020"
"National","eastern cape","Buffalo City MM","Public Health","Male","13033","6702","19735"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","155","75","230"
"National","eastern cape","C Hani DM","Public Health","Female","13776","3605","17381"
"National","eastern cape","C Hani DM","Public Health","Male","11085","2628","13713"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","650","361","1011"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","490","215","705"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7819","2712","10531"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6989","2192","9181"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4036","2031","6067"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3659","1702","5361"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15822","6502","22324"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12301","4613","16914"
"National","eastern cape","O Tambo DM","Private Health","Female","307","119","426"
"National","eastern cape","O Tambo DM","Private Health","Male","244","112","356"
"National","eastern cape","O Tambo DM","Public Health","Female","43741","17012","60753"
"National","eastern cape","O Tambo DM","Public Health","Male","36715","12703","49418"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1564","1075","2639"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1354","812","2166"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9584","5370","14954"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8052","4000","12052"
"National","free state","Fezile Dabi DM","Private Health","Female","471","340","811"
"National","free state","Fezile Dabi DM","Private Health","Male","447","282","729"
"National","free state","Fezile Dabi DM","Public Health","Female","13131","5008","18139"
"National","free state","Fezile Dabi DM","Public Health","Male","10739","3632","14371"
"National","free state","Lejweleputswa DM","Private Health","Female","3734","1439","5173"
"National","free state","Lejweleputswa DM","Private Health","Male","2990","1083","4073"
"National","free state","Lejweleputswa DM","Public Health","Female","14001","5272","19273"
"National","free state","Lejweleputswa DM","Public Health","Male","12009","3727","15736"
"National","free state","Mangaung MM","Private Health","Female","2943","1918","4861"
"National","free state","Mangaung MM","Private Health","Male","2420","1450","3870"
"National","free state","Mangaung MM","Public Health","Female","23366","13839","37205"
"National","free state","Mangaung MM","Public Health","Male","20868","11187","32055"
"National","free state","T Mofutsanyana DM","Private Health","Female","1833","1116","2949"
"National","free state","T Mofutsanyana DM","Private Health","Male","1573","907","2480"
"National","free state","T Mofutsanyana DM","Public Health","Female","26675","15402","42077"
"National","free state","T Mofutsanyana DM","Public Health","Male","22931","11620","34551"
"National","free state","Xhariep DM","Public Health","Female","4242","1194","5436"
"National","free state","Xhariep DM","Public Health","Male","3466","813","4279"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10708","6518","17226"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9864","5575","15439"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40576","15227","55803"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32142","11160","43302"
"National","gauteng","Johannesburg MM","Private Health","Female","25142","13598","38740"
"National","gauteng","Johannesburg MM","Private Health","Male","22979","11837","34816"
"National","gauteng","Johannesburg MM","Public Health","Female","46044","16738","62782"
"National","gauteng","Johannesburg MM","Public Health","Male","37331","13100","50431"
"National","gauteng","Sedibeng DM","Private Health","Female","1573","1002","2575"
"National","gauteng","Sedibeng DM","Private Health","Male","1404","680","2084"
"National","gauteng","Sedibeng DM","Public Health","Female","13665","5857","19522"
"National","gauteng","Sedibeng DM","Public Health","Male","10795","4518","15313"
"National","gauteng","Tshwane MM","Private Health","Female","11367","6553","17920"
"National","gauteng","Tshwane MM","Private Health","Male","10827","5944","16771"
"National","gauteng","Tshwane MM","Public Health","Female","39794","18617","58411"
"National","gauteng","Tshwane MM","Public Health","Male","30823","13115","43938"
"National","gauteng","West Rand DM","Private Health","Female","2159","1491","3650"
"National","gauteng","West Rand DM","Private Health","Male","1800","1221","3021"
"National","gauteng","West Rand DM","Public Health","Female","17389","8792","26181"
"National","gauteng","West Rand DM","Public Health","Male","14227","6573","20800"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","180","55","235"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6488","2813","9301"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4191","1745","5936"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11664","6855","18519"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10882","6091","16973"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14401","5537","19938"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11754","4446","16200"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","350","161","511"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","340","133","473"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12910","7738","20648"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10103","5605","15708"
"National","kwazulu-natal","iLembe DM","Private Health","Female","538","328","866"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8268","4114","12382"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4886","2202","7088"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","326","130","456"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","302","91","393"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12282","5013","17295"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","7985","3061","11046"
"National","kwazulu-natal","Ugu DM","Private Health","Female","886","551","1437"
"National","kwazulu-natal","Ugu DM","Private Health","Male","711","421","1132"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12299","5124","17423"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7957","2766","10723"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1595","828","2423"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1482","756","2238"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12538","4992","17530"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8749","3081","11830"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","24","6","30"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20352","10280","30632"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12897","5406","18303"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14761","6293","21054"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9104","3427","12531"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","278","119","397"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","75","256"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15142","6835","21977"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10231","4014","14245"
"National","kwazulu-natal","Zululand DM","Private Health","Female","59","7","66"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","23950","12771","36721"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17240","8091","25331"
"National","limpopo","Capricorn DM","Private Health","Female","2567","1378","3945"
"National","limpopo","Capricorn DM","Private Health","Male","2106","1038","3144"
"National","limpopo","Capricorn DM","Public Health","Female","34665","14159","48824"
"National","limpopo","Capricorn DM","Public Health","Male","29808","10758","40566"
"National","limpopo","Mopani DM","Private Health","Female","955","471","1426"
"National","limpopo","Mopani DM","Private Health","Male","835","397","1232"
"National","limpopo","Mopani DM","Public Health","Female","36404","12596","49000"
"National","limpopo","Mopani DM","Public Health","Male","29949","9080","39029"
"National","limpopo","Sekhukhune DM","Private Health","Female","885","467","1352"
"National","limpopo","Sekhukhune DM","Private Health","Male","888","362","1250"
"National","limpopo","Sekhukhune DM","Public Health","Female","25467","9572","35039"
"National","limpopo","Sekhukhune DM","Public Health","Male","24956","8064","33020"
"National","limpopo","Vhembe DM","Private Health","Female","5823","2469","8292"
"National","limpopo","Vhembe DM","Private Health","Male","4013","1450","5463"
"National","limpopo","Vhembe DM","Public Health","Female","32282","10249","42531"
"National","limpopo","Vhembe DM","Public Health","Male","26875","7329","34204"
"National","limpopo","Waterberg DM","Private Health","Female","1234","509","1743"
"National","limpopo","Waterberg DM","Private Health","Male","1118","433","1551"
"National","limpopo","Waterberg DM","Public Health","Female","16536","6527","23063"
"National","limpopo","Waterberg DM","Public Health","Male","13759","4768","18527"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2001","934","2935"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1708","833","2541"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","46059","19115","65174"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","35115","12382","47497"
"National","mpumalanga","G Sibande DM","Private Health","Female","692","265","957"
"National","mpumalanga","G Sibande DM","Private Health","Male","589","246","835"
"National","mpumalanga","G Sibande DM","Public Health","Female","15372","6013","21385"
"National","mpumalanga","G Sibande DM","Public Health","Male","11852","4082","15934"
"National","mpumalanga","Nkangala DM","Private Health","Female","1047","439","1486"
"National","mpumalanga","Nkangala DM","Private Health","Male","1005","396","1401"
"National","mpumalanga","Nkangala DM","Public Health","Female","15965","6145","22110"
"National","mpumalanga","Nkangala DM","Public Health","Male","16622","5130","21752"
"National","northern cape","Frances Baard DM","Private Health","Female","1226","618","1844"
"National","northern cape","Frances Baard DM","Private Health","Male","1166","503","1669"
"National","northern cape","Frances Baard DM","Public Health","Female","6375","3101","9476"
"National","northern cape","Frances Baard DM","Public Health","Male","5142","2306","7448"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","315","196","511"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","270","142","412"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3296","1229","4525"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2552","911","3463"
"National","northern cape","Namakwa DM","Private Health","Female","167","98","265"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1545","570","2115"
"National","northern cape","Namakwa DM","Public Health","Male","1223","431","1654"
"National","northern cape","Pixley ka Seme DM","Public Health","Female","3589","1591","5180"
"National","northern cape","Pixley ka Seme DM","Public Health","Male","2746","1142","3888"
"National","northern cape","ZF Mgcawu DM","Private Health","Female","314","108","422"
"National","northern cape","ZF Mgcawu DM","Private Health","Male","261","76","337"
"National","northern cape","ZF Mgcawu DM","Public Health","Female","3665","1578","5243"
"National","northern cape","ZF Mgcawu DM","Public Health","Male","2898","1104","4002"
"National","north west","Bojanala Platinum DM","Private Health","Female","2432","1169","3601"
"National","north west","Bojanala Platinum DM","Private Health","Male","2207","958","3165"
"National","north west","Bojanala Platinum DM","Public Health","Female","29770","12337","42107"
"National","north west","Bojanala Platinum DM","Public Health","Male","24537","9047","33584"
"National","north west","Dr K Kaunda DM","Private Health","Female","1340","657","1997"
"National","north west","Dr K Kaunda DM","Private Health","Male","1140","528","1668"
"National","north west","Dr K Kaunda DM","Public Health","Female","12562","4417","16979"
