"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","51"
"eastern cape","Public Health","331"
"free state","Private Health","82"
"free state","Public Health","32"
"gauteng","Private Health","919"
"gauteng","Public Health","826"
"kwazulu-natal","Private Health","319"
"kwazulu-natal","Public Health","647"
"limpopo","Private Health","61"
"limpopo","Public Health","254"
"mpumalanga","Private Health","39"
"mpumalanga","Public Health","53"
"northern cape","Private Health","22"
"northern cape","Public Health","55"
"north west","Private Health","30"
"north west","Public Health","1140"
"western cape","Private Health","122"
"western cape","Public Health","47"
