"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","333"
"eastern cape","Public Health","5669"
"free state","Private Health","334"
"free state","Public Health","2281"
"gauteng","Private Health","2117"
"gauteng","Public Health","5274"
"kwazulu-natal","Private Health","594"
"kwazulu-natal","Public Health","5139"
"limpopo","Private Health","354"
"limpopo","Public Health","5158"
"mpumalanga","Private Health","212"
"mpumalanga","Public Health","2891"
"northern cape","Private Health","101"
"northern cape","Public Health","1065"
"north west","Private Health","377"
"north west","Public Health","1861"
"western cape","Private Health","1040"
"western cape","Public Health","2047"
