"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537401"
"kwazulu-natal","Private Health","1237205"
"western cape","Private Health","1922921"
"limpopo","Private Health","609727"
"northern cape","Public Health","610075"
"gauteng","Private Health","4577346"
"kwazulu-natal","Public Health","4670808"
"free state","Public Health","1868084"
"north west","Public Health","1788354"
"gauteng","Public Health","5845782"
"mpumalanga","Private Health","406602"
"mpumalanga","Public Health","1935349"
"northern cape","Private Health","158149"
"eastern cape","Private Health","694441"
"western cape","Public Health","3686801"
"limpopo","Public Health","3150962"
"free state","Private Health","400930"
"eastern cape","Public Health","3558521"
