"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537599"
"kwazulu-natal","Private Health","1237548"
"western cape","Private Health","1923324"
"limpopo","Private Health","610040"
"northern cape","Public Health","610912"
"gauteng","Private Health","4579931"
"kwazulu-natal","Public Health","4675972"
"mpumalanga","","15"
"free state","Public Health","1870168"
"north west","Public Health","1790326"
"gauteng","Public Health","5852796"
"mpumalanga","Private Health","406689"
"mpumalanga","Public Health","1938577"
"northern cape","Private Health","158233"
"eastern cape","Private Health","694659"
"western cape","Public Health","3689586"
"limpopo","Public Health","3156796"
"free state","Private Health","401076"
"eastern cape","Public Health","3566841"
