"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","153","37","190"
"National","eastern cape","Amathole DM","Private Health","Male","96","19","115"
"National","eastern cape","Amathole DM","Public Health","Female","13860","4573","18433"
"National","eastern cape","Amathole DM","Public Health","Male","11754","3803","15557"
"National","eastern cape","A Nzo DM","Public Health","Female","29834","14426","44260"
"National","eastern cape","A Nzo DM","Public Health","Male","25905","10814","36719"
"National","eastern cape","Buffalo City MM","Private Health","Female","2888","1189","4077"
"National","eastern cape","Buffalo City MM","Private Health","Male","2350","907","3257"
"National","eastern cape","Buffalo City MM","Public Health","Female","16096","9012","25108"
"National","eastern cape","Buffalo City MM","Public Health","Male","12427","6168","18595"
"National","eastern cape","C Hani DM","Private Health","Female","226","102","328"
"National","eastern cape","C Hani DM","Private Health","Male","160","74","234"
"National","eastern cape","C Hani DM","Public Health","Female","13995","3618","17613"
"National","eastern cape","C Hani DM","Public Health","Male","11248","2625","13873"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","660","366","1026"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","504","218","722"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7871","2698","10569"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7048","2143","9191"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4138","2076","6214"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3723","1730","5453"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15684","6410","22094"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12209","4498","16707"
"National","eastern cape","O Tambo DM","Private Health","Female","315","122","437"
"National","eastern cape","O Tambo DM","Private Health","Male","253","113","366"
"National","eastern cape","O Tambo DM","Public Health","Female","43728","16720","60448"
"National","eastern cape","O Tambo DM","Public Health","Male","36526","12389","48915"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1591","1094","2685"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1380","826","2206"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9634","5329","14963"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8095","3936","12031"
"National","free state","Fezile Dabi DM","Private Health","Female","473","344","817"
"National","free state","Fezile Dabi DM","Private Health","Male","450","287","737"
"National","free state","Fezile Dabi DM","Public Health","Female","13295","4980","18275"
"National","free state","Fezile Dabi DM","Public Health","Male","10825","3606","14431"
"National","free state","Lejweleputswa DM","Private Health","Female","3819","1468","5287"
"National","free state","Lejweleputswa DM","Private Health","Male","3056","1105","4161"
"National","free state","Lejweleputswa DM","Public Health","Female","14155","5274","19429"
"National","free state","Lejweleputswa DM","Public Health","Male","12123","3709","15832"
"National","free state","Mangaung MM","Private Health","Female","2903","1693","4596"
"National","free state","Mangaung MM","Private Health","Male","2407","1283","3690"
"National","free state","Mangaung MM","Public Health","Female","23601","13907","37508"
"National","free state","Mangaung MM","Public Health","Male","21089","11198","32287"
"National","free state","T Mofutsanyana DM","Private Health","Female","1870","1138","3008"
"National","free state","T Mofutsanyana DM","Private Health","Male","1596","924","2520"
"National","free state","T Mofutsanyana DM","Public Health","Female","26991","15466","42457"
