"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","205"
"eastern cape","Public Health","448"
"free state","Private Health","96"
"free state","Public Health","161"
"gauteng","Private Health","1770"
"gauteng","Public Health","957"
"kwazulu-natal","Private Health","572"
"kwazulu-natal","Public Health","1276"
"limpopo","Private Health","167"
"limpopo","Public Health","144"
"mpumalanga","Private Health","122"
"mpumalanga","Public Health","212"
"northern cape","Private Health","37"
"northern cape","Public Health","93"
"north west","Private Health","96"
"north west","Public Health","527"
"western cape","Private Health","632"
"western cape","Public Health","216"
