"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","11"
"eastern cape","Public Health","1110"
"free state","Private Health","18"
"free state","Public Health","274"
"gauteng","Private Health","186"
"gauteng","Public Health","1376"
"kwazulu-natal","Private Health","7"
"kwazulu-natal","Public Health","630"
"limpopo","Private Health","40"
"limpopo","Public Health","1054"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","629"
"northern cape","Public Health","172"
"north west","Private Health","34"
"north west","Public Health","551"
"western cape","Private Health","10"
"western cape","Public Health","251"
