"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","211"
"Janssen Vaccines & Prevention B.V","free state","Adults","22"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","357"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","145"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","106"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","129"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","12"
"Janssen Vaccines & Prevention B.V","north west","Adults","99"
"Janssen Vaccines & Prevention B.V","western cape","Adults","56"
"Pfizer","eastern cape","12-17 Years","53"
"Pfizer","eastern cape","Adults","184"
"Pfizer","free state","12-17 Years","7"
"Pfizer","free state","Adults","51"
"Pfizer","gauteng","12-17 Years","38"
"Pfizer","gauteng","Adults","317"
"Pfizer","kwazulu-natal","12-17 Years","16"
"Pfizer","kwazulu-natal","Adults","125"
"Pfizer","limpopo","12-17 Years","139"
"Pfizer","limpopo","Adults","126"
"Pfizer","mpumalanga","12-17 Years","43"
"Pfizer","mpumalanga","Adults","109"
"Pfizer","northern cape","12-17 Years","5"
"Pfizer","northern cape","Adults","25"
"Pfizer","north west","12-17 Years","22"
"Pfizer","north west","Adults","81"
"Pfizer","western cape","12-17 Years","4"
"Pfizer","western cape","Adults","47"
