"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","529173"
"kwazulu-natal","Private Health","1217045"
"western cape","Private Health","1890529"
"limpopo","Private Health","592299"
"northern cape","Public Health","579103"
"gauteng","Private Health","4486258"
"kwazulu-natal","Public Health","4496218"
"free state","Public Health","1806997"
"north west","Public Health","1751268"
"gauteng","Public Health","5716204"
"mpumalanga","Private Health","395276"
"mpumalanga","Public Health","1836130"
"northern cape","Private Health","155060"
"eastern cape","Private Health","680866"
"western cape","Public Health","3620304"
"limpopo","Public Health","3057096"
"free state","Private Health","392547"
"eastern cape","Public Health","3399981"
