"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10612","5079","15691"
"National","eastern cape","Private Health","Male","8937","3911","12848"
"National","eastern cape","Public Health","Female","144187","49684","193871"
"National","eastern cape","Public Health","Male","117739","34662","152401"
"National","free state","Private Health","Female","9197","4443","13640"
"National","free state","Private Health","Male","7523","3380","10903"
"National","free state","Public Health","Female","84087","39045","123132"
"National","free state","Public Health","Male","71790","29162","100952"
"National","gauteng","Private Health","Female","53931","29750","83681"
"National","gauteng","Private Health","Male","49424","25412","74836"
"National","gauteng","Public Health","Female","163154","64259","227413"
"National","gauteng","Public Health","Male","128744","46982","175726"
"National","kwazulu-natal","Private Health","Female","17377","9667","27044"
"National","kwazulu-natal","Private Health","Male","15695","8195","23890"
"National","kwazulu-natal","Public Health","Female","154193","61458","215651"
"National","kwazulu-natal","Public Health","Male","104863","37363","142226"
"National","limpopo","Private Health","Female","11792","5080","16872"
"National","limpopo","Private Health","Male","9140","3530","12670"
"National","limpopo","Public Health","Female","139602","45476","185078"
"National","limpopo","Public Health","Male","121177","34255","155432"
"National","mpumalanga","Private Health","Female","4045","1691","5736"
"National","mpumalanga","Private Health","Male","3526","1476","5002"
"National","mpumalanga","Public Health","Female","75054","24535","99589"
"National","mpumalanga","Public Health","Male","62444","17245","79689"
"National","northern cape","Private Health","Female","2149","1045","3194"
"National","northern cape","Private Health","Male","1968","784","2752"
"National","northern cape","Public Health","Female","16872","5352","22224"
"National","northern cape","Public Health","Male","13236","3969","17205"
"National","north west","Private Health","Female","5268","2424","7692"
"National","north west","Private Health","Male","4763","2017","6780"
"National","north west","Public Health","Female","79204","27480","106684"
"National","north west","Public Health","Male","65493","19723","85216"
"National","western cape","Private Health","Female","23713","12439","36152"
"National","western cape","Private Health","Male","21342","10758","32100"
"National","western cape","Public Health","Female","47154","15574","62728"
"National","western cape","Public Health","Male","39236","12711","51947"
