"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539129"
"free state","","6"
"kwazulu-natal","Private Health","1239095"
"western cape","Private Health","1925335"
"limpopo","Private Health","612867"
"northern cape","Public Health","620436"
"gauteng","Private Health","4593702"
"kwazulu-natal","Public Health","4710697"
"mpumalanga","","23"
"free state","Public Health","1882606"
"north west","Public Health","1811212"
"gauteng","Public Health","5915554"
"mpumalanga","Private Health","407026"
"mpumalanga","Public Health","1966295"
"western cape","","3"
"northern cape","Private Health","158544"
"eastern cape","Private Health","695808"
"western cape","Public Health","3715815"
"limpopo","Public Health","3200737"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3638677"
