"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","865925","0","157805","1023730"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","465470","0","96450","561920"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1442235","0","218022","1660257"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1167449","0","186739","1354188"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1058886","0","162702","1221588"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","819765","0","134839","954604"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","209132","0","36004","245136"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","697197","0","119667","816864"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","665883","0","114774","780657"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24222","85095"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137623","0","65389","203012"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94510","0","40023","134533"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34194","0","17016","51210"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21989","0","7152","29141"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23485","0","8966","32451"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94622","0","61527","156149"
"Pfizer","National","eastern cape","Adults","1375850","1156737","265080","2797667"
"Pfizer","National","eastern cape","12-17 Years","300307","127686","0","427993"
"Pfizer","National","free state","12-17 Years","166209","79855","0","246064"
"Pfizer","National","free state","Adults","689162","604745","147021","1440928"
"Pfizer","National","gauteng","12-17 Years","377289","167076","28","544393"
"Pfizer","National","gauteng","Adults","3966416","3435751","699431","8101598"
"Pfizer","National","kwazulu-natal","Adults","2020626","1680020","342875","4043521"
"Pfizer","National","kwazulu-natal","12-17 Years","286205","131332","13","417550"
"Pfizer","National","limpopo","Adults","1069617","895080","184185","2148882"
"Pfizer","National","limpopo","12-17 Years","289963","101961","2","391926"
"Pfizer","National","mpumalanga","12-17 Years","146812","55970","3","202785"
"Pfizer","National","mpumalanga","Adults","590229","485270","111315","1186814"
"Pfizer","National","northern cape","12-17 Years","37328","15959","0","53287"
"Pfizer","National","northern cape","Adults","231373","197271","37994","466638"
"Pfizer","National","north west","12-17 Years","147478","52270","4","199752"
"Pfizer","National","north west","Adults","635956","548198","117120","1301274"
"Pfizer","National","western cape","12-17 Years","128287","54398","3","182688"
"Pfizer","National","western cape","Adults","2142353","1880305","499001","4521659"
