"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","916748"
"Janssen Vaccines & Prevention B.V","free state","Adults","486929"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1543868"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1242987"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1078753"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","828113"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215904"
"Janssen Vaccines & Prevention B.V","north west","Adults","713321"
"Janssen Vaccines & Prevention B.V","western cape","Adults","750258"
"Pfizer","eastern cape","12-17 Years","100158"
"Pfizer","eastern cape","Adults","1126338"
"Pfizer","free state","12-17 Years","78957"
"Pfizer","free state","Adults","592728"
"Pfizer","gauteng","12-17 Years","170358"
"Pfizer","gauteng","Adults","3387590"
"Pfizer","kwazulu-natal","12-17 Years","126377"
"Pfizer","kwazulu-natal","Adults","1648484"
"Pfizer","limpopo","12-17 Years","93821"
"Pfizer","limpopo","Adults","877238"
"Pfizer","mpumalanga","12-17 Years","47783"
"Pfizer","mpumalanga","Adults","473395"
"Pfizer","northern cape","12-17 Years","13654"
"Pfizer","northern cape","Adults","193954"
"Pfizer","north west","12-17 Years","52812"
"Pfizer","north west","Adults","539254"
"Pfizer","western cape","12-17 Years","52827"
"Pfizer","western cape","Adults","1862279"
