"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534159"
"kwazulu-natal","Private Health","1229466"
"western cape","Private Health","1910323"
"limpopo","Private Health","601092"
"northern cape","Public Health","602993"
"gauteng","Private Health","4541782"
"kwazulu-natal","Public Health","4602734"
"free state","Public Health","1842898"
"north west","Public Health","1775226"
"gauteng","Public Health","5788105"
"mpumalanga","Private Health","404133"
"mpumalanga","Public Health","1897832"
"northern cape","Private Health","156763"
"eastern cape","Private Health","689000"
"western cape","Public Health","3655516"
"limpopo","Public Health","3106369"
"free state","Private Health","397741"
"eastern cape","Public Health","3474658"
