"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","26"
"eastern cape","Public Health","1877"
"free state","Private Health","31"
"free state","Public Health","447"
"gauteng","Private Health","266"
"gauteng","Public Health","1086"
"kwazulu-natal","Private Health","27"
"kwazulu-natal","Public Health","709"
"limpopo","Private Health","28"
"limpopo","Public Health","1110"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","647"
"northern cape","Private Health","29"
"northern cape","Public Health","227"
"north west","Private Health","36"
"north west","Public Health","306"
"western cape","Private Health","29"
"western cape","Public Health","483"
