"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","99","0","159","258"
"Janssen Vaccines & Prevention B.V","free state","Adults","23","0","95","118"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","344","0","152","496"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","161","0","127","288"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","254","0","301","555"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","126","0","137","263"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","53","0","43","96"
"Janssen Vaccines & Prevention B.V","north west","Adults","69","0","107","176"
"Janssen Vaccines & Prevention B.V","western cape","Adults","71","0","26","97"
"Pfizer","eastern cape","12-17 Years","339","440","0","779"
"Pfizer","eastern cape","Adults","207","314","345","866"
"Pfizer","free state","12-17 Years","27","117","0","144"
"Pfizer","free state","Adults","54","63","99","216"
"Pfizer","gauteng","12-17 Years","34","36","0","70"
"Pfizer","gauteng","Adults","251","254","281","786"
"Pfizer","kwazulu-natal","12-17 Years","11","30","0","41"
"Pfizer","kwazulu-natal","Adults","138","131","138","407"
"Pfizer","limpopo","12-17 Years","131","34","0","165"
"Pfizer","limpopo","Adults","119","112","187","418"
"Pfizer","mpumalanga","12-17 Years","63","85","0","148"
"Pfizer","mpumalanga","Adults","89","80","70","239"
"Pfizer","northern cape","12-17 Years","15","61","0","76"
"Pfizer","northern cape","Adults","36","22","26","84"
"Pfizer","north west","12-17 Years","12","5","0","17"
"Pfizer","north west","Adults","59","50","40","149"
"Pfizer","western cape","12-17 Years","23","28","0","51"
"Pfizer","western cape","Adults","141","106","117","364"
