"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","57"
"eastern cape","Public Health","1990"
"free state","Private Health","10"
"free state","Public Health","661"
"gauteng","Private Health","495"
"gauteng","Public Health","1114"
"kwazulu-natal","Private Health","69"
"kwazulu-natal","Public Health","826"
"limpopo","Private Health","192"
"limpopo","Public Health","1069"
"limpopo","","11"
"mpumalanga","Private Health","20"
"mpumalanga","Public Health","868"
"northern cape","Private Health","14"
"northern cape","Public Health","167"
"north west","Private Health","30"
"north west","Public Health","167"
"western cape","Private Health","141"
"western cape","Public Health","574"
