"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","73"
"Janssen Vaccines & Prevention B.V","free state","Adults","37"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","259"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","122"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","105"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","98"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","15"
"Janssen Vaccines & Prevention B.V","north west","Adults","32"
"Janssen Vaccines & Prevention B.V","western cape","Adults","93"
"Pfizer","eastern cape","12-17 Years","689"
"Pfizer","eastern cape","Adults","238"
"Pfizer","free state","12-17 Years","50"
"Pfizer","free state","Adults","123"
"Pfizer","gauteng","12-17 Years","61"
"Pfizer","gauteng","Adults","390"
"Pfizer","kwazulu-natal","12-17 Years","162"
"Pfizer","kwazulu-natal","Adults","190"
"Pfizer","limpopo","12-17 Years","248"
"Pfizer","limpopo","Adults","119"
"Pfizer","mpumalanga","12-17 Years","266"
"Pfizer","mpumalanga","Adults","95"
"Pfizer","northern cape","12-17 Years","59"
"Pfizer","northern cape","Adults","19"
"Pfizer","north west","12-17 Years","8"
"Pfizer","north west","Adults","35"
"Pfizer","western cape","12-17 Years","59"
"Pfizer","western cape","Adults","123"
