"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","202","0","483","685"
"Janssen Vaccines & Prevention B.V","free state","Adults","125","0","356","481"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","641","0","343","984"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","310","0","338","648"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","150","0","352","502"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","510","0","615","1125"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","96","0","218","314"
"Janssen Vaccines & Prevention B.V","north west","Adults","159","0","170","329"
"Janssen Vaccines & Prevention B.V","western cape","Adults","142","0","166","308"
"Pfizer","eastern cape","12-17 Years","76","95","0","171"
"Pfizer","eastern cape","Adults","225","437","704","1366"
"Pfizer","free state","12-17 Years","50","103","0","153"
"Pfizer","free state","Adults","159","248","489","896"
"Pfizer","gauteng","12-17 Years","130","223","0","353"
"Pfizer","gauteng","Adults","726","892","1037","2655"
"Pfizer","kwazulu-natal","12-17 Years","76","107","0","183"
"Pfizer","kwazulu-natal","Adults","510","585","665","1760"
"Pfizer","limpopo","12-17 Years","147","122","0","269"
"Pfizer","limpopo","Adults","176","315","531","1022"
"Pfizer","mpumalanga","12-17 Years","77","76","0","153"
"Pfizer","mpumalanga","Adults","166","345","466","977"
"Pfizer","northern cape","12-17 Years","49","37","0","86"
"Pfizer","northern cape","Adults","136","126","143","405"
"Pfizer","north west","12-17 Years","59","48","0","107"
"Pfizer","north west","Adults","145","148","186","479"
"Pfizer","western cape","12-17 Years","47","58","0","105"
"Pfizer","western cape","Adults","183","277","546","1006"
